datetime,Q,year,month,day
1923-08-16,27900,1923,8,16
1923-08-17,27400,1923,8,17
1923-08-18,28400,1923,8,18
1923-08-19,29200,1923,8,19
1923-08-20,32100,1923,8,20
1923-08-21,29200,1923,8,21
1923-08-22,25200,1923,8,22
1923-08-23,22700,1923,8,23
1923-08-24,21500,1923,8,24
1923-08-25,19000,1923,8,25
1923-08-26,18000,1923,8,26
1923-08-27,16700,1923,8,27
1923-08-28,15300,1923,8,28
1923-08-29,14100,1923,8,29
1923-08-30,18600,1923,8,30
1923-08-31,18300,1923,8,31
1923-09-01,21100,1923,9,1
1923-09-02,19400,1923,9,2
1923-09-03,15000,1923,9,3
1923-09-04,13600,1923,9,4
1923-09-05,13100,1923,9,5
1923-09-06,12600,1923,9,6
1923-09-07,12100,1923,9,7
1923-09-08,11100,1923,9,8
1923-09-09,10600,1923,9,9
1923-09-10,10400,1923,9,10
1923-09-11,9740,1923,9,11
1923-09-12,9740,1923,9,12
1923-09-13,9960,1923,9,13
1923-09-14,9960,1923,9,14
1923-09-15,9520,1923,9,15
1923-09-16,8690,1923,9,16
1923-09-17,8300,1923,9,17
1923-09-18,9310,1923,9,18
1923-09-19,15000,1923,9,19
1923-09-20,47800,1923,9,20
1923-09-21,28400,1923,9,21
1923-09-22,16700,1923,9,22
1923-09-23,13300,1923,9,23
1923-09-24,12100,1923,9,24
1923-09-25,14100,1923,9,25
1923-09-26,19000,1923,9,26
1923-09-27,17700,1923,9,27
1923-09-28,16100,1923,9,28
1923-09-29,14400,1923,9,29
1923-09-30,14100,1923,9,30
1923-10-01,13700,1923,10,1
1923-10-02,13200,1923,10,2
1923-10-03,13000,1923,10,3
1923-10-04,12800,1923,10,4
1923-10-05,12400,1923,10,5
1923-10-06,12800,1923,10,6
1923-10-07,12200,1923,10,7
1923-10-08,12000,1923,10,8
1923-10-09,12700,1923,10,9
1923-10-10,12600,1923,10,10
1923-10-11,12400,1923,10,11
1923-10-12,12300,1923,10,12
1923-10-13,12400,1923,10,13
1923-10-14,12300,1923,10,14
1923-10-15,12200,1923,10,15
1923-10-16,12200,1923,10,16
1923-10-17,12100,1923,10,17
1923-10-18,11800,1923,10,18
1923-10-19,11600,1923,10,19
1923-10-20,11600,1923,10,20
1923-10-21,11300,1923,10,21
1923-10-22,10800,1923,10,22
1923-10-23,10400,1923,10,23
1923-10-24,10300,1923,10,24
1923-10-25,10100,1923,10,25
1923-10-26,10300,1923,10,26
1923-10-27,11400,1923,10,27
1923-10-28,11600,1923,10,28
1923-10-29,10900,1923,10,29
1923-10-30,10600,1923,10,30
1923-10-31,10300,1923,10,31
1923-11-01,10200,1923,11,1
1923-11-02,10300,1923,11,2
1923-11-03,10300,1923,11,3
1923-11-04,10300,1923,11,4
1923-11-05,10500,1923,11,5
1923-11-06,10300,1923,11,6
1923-11-07,10100,1923,11,7
1923-11-08,9890,1923,11,8
1923-11-09,9680,1923,11,9
1923-11-10,9550,1923,11,10
1923-11-11,12600,1923,11,11
1923-11-12,19600,1923,11,12
1923-11-13,18200,1923,11,13
1923-11-14,16600,1923,11,14
1923-11-15,14200,1923,11,15
1923-11-16,12200,1923,11,16
1923-11-17,11400,1923,11,17
1923-11-18,11000,1923,11,18
1923-11-19,10300,1923,11,19
1923-11-20,9970,1923,11,20
1923-11-21,9720,1923,11,21
1923-11-22,9510,1923,11,22
1923-11-23,9270,1923,11,23
1923-11-24,9110,1923,11,24
1923-11-25,8870,1923,11,25
1923-11-26,8670,1923,11,26
1923-11-27,8480,1923,11,27
1923-11-28,8250,1923,11,28
1923-11-29,8250,1923,11,29
1923-11-30,8100,1923,11,30
1923-12-01,8100,1923,12,1
1923-12-02,8100,1923,12,2
1923-12-03,8060,1923,12,3
1923-12-04,7950,1923,12,4
1923-12-05,7990,1923,12,5
1923-12-06,8210,1923,12,6
1923-12-07,8290,1923,12,7
1923-12-08,8330,1923,12,8
1923-12-09,8290,1923,12,9
1923-12-10,7720,1923,12,10
1923-12-11,7220,1923,12,11
1923-12-12,6820,1923,12,12
1923-12-13,6480,1923,12,13
1923-12-14,6750,1923,12,14
1923-12-15,6480,1923,12,15
1923-12-16,5810,1923,12,16
1923-12-17,5390,1923,12,17
1923-12-18,5130,1923,12,18
1923-12-19,4910,1923,12,19
1923-12-20,4680,1923,12,20
1923-12-21,4830,1923,12,21
1923-12-22,5480,1923,12,22
1923-12-23,5840,1923,12,23
1923-12-24,6160,1923,12,24
1923-12-25,6160,1923,12,25
1923-12-26,5840,1923,12,26
1923-12-27,5690,1923,12,27
1923-12-28,5630,1923,12,28
1923-12-29,7720,1923,12,29
